         73459485 function calls (73452122 primitive calls) in 27.958 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6236    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     1755    0.001    0.000    0.019    0.000 artist.py:1422(is_alias)
       12    0.001    0.000    0.015    0.001 artist.py:1328(get_aliases)
     2846    0.001    0.000    0.001    0.000 inspect.py:2809(<genexpr>)
      746    0.001    0.000    0.001    0.000 inspect.py:493(unwrap)
    23/22    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      286    0.001    0.000    0.003    0.000 overrides.py:72(verify_matching_signatures)
       11    0.001    0.000    0.041    0.004 artist.py:1452(pprint_setters)
      316    0.001    0.000    0.018    0.000 overrides.py:166(decorator)
   534/57    0.001    0.000    0.242    0.004 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     3007    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      410    0.001    0.000    0.002    0.000 copy.py:66(copy)
      174    0.001    0.000    0.027    0.000 sre_compile.py:759(compile)
   260/11    0.001    0.000    0.002    0.000 pyparsing.py:1647(_parseNoCache)
     4271    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
  475/225    0.001    0.000    0.003    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       12    0.001    0.000    0.001    0.000 artist.py:1339(<listcomp>)
       72    0.001    0.000    0.006    0.000 __init__.py:1278(_preprocess_data)
    379/6    0.001    0.000    0.267    0.045 {built-in method builtins.__import__}
      174    0.001    0.000    0.002    0.000 sre_compile.py:536(_compile_info)
     2645    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
      295    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
      174    0.001    0.000    0.017    0.000 sre_parse.py:937(parse)
     1624    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      616    0.001    0.000    0.002    0.000 _inspect.py:96(getargspec)
      158    0.001    0.000    0.001    0.000 colors.py:214(_to_rgba_no_colorcycle)
       31    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     5748    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       46    0.000    0.000    0.000    0.000 six.py:105(__init__)
        1    0.000    0.000    0.001    0.001 _cm_listed.py:1(<module>)
    97/54    0.000    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
      266    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
     1396    0.000    0.000    0.001    0.000 {method 'update' of 'dict' objects}
     2647    0.000    0.000    0.001    0.000 enum.py:562(__new__)
       46    0.000    0.000    0.000    0.000 deprecation.py:208(_deprecated_property)
     6119    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     2566    0.000    0.000    0.001    0.000 sre_parse.py:249(match)
    266/3    0.000    0.000    0.278    0.093 <frozen importlib._bootstrap_external>:777(exec_module)
      233    0.000    0.000    0.000    0.000 pyparsing.py:1400(__init__)
      446    0.000    0.000    0.002    0.000 colors.py:178(to_rgba)
       30    0.000    0.000    0.001    0.000 function_base.py:23(linspace)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
     1414    0.000    0.000    0.002    0.000 re.py:188(match)
      274    0.000    0.000    0.002    0.000 function_base.py:451(add_newdoc)
  318/314    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      410    0.000    0.000    0.001    0.000 copy.py:258(_reconstruct)
     1938    0.000    0.000    0.001    0.000 sre_parse.py:172(append)
     2109    0.000    0.000    0.001    0.000 sre_parse.py:160(__len__)
     1243    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
     3891    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      428    0.000    0.000    0.004    0.000 rcsetup.py:377(validate_color)
      160    0.000    0.000    0.001    0.000 shape_base.py:612(column_stack)
      270    0.000    0.000    0.001    0.000 {built-in method builtins.sum}
       13    0.000    0.000    0.001    0.000 enum.py:134(__new__)
       16    0.000    0.000    0.002    0.000 {built-in method builtins.eval}
      267    0.000    0.000    0.001    0.000 sre_parse.py:355(_escape)
      108    0.000    0.000    0.005    0.000 docstring.py:38(__call__)
      532    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      798    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      429    0.000    0.000    0.001    0.000 artist.py:1429(aliased_name)
     1725    0.000    0.000    0.000    0.000 inspect.py:158(isfunction)
      266    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
      341    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
     1321    0.000    0.000    0.001    0.000 sre_parse.py:286(tell)
